,state,county,candidate,party,total_votes,won,lat,lng,population,density
143,Georgia,Greene,Donald Trump,REP,7066,True,33.5687,-83.1872,3350.0,187.0
144,Georgia,Gwinnett,Joe Biden,DEM,241994,True,33.967,-84.232,43516.0,1043.0
145,Georgia,Habersham,Donald Trump,REP,16637,True,34.517,-83.5311,4510.0,419.0
146,Georgia,Hall,Donald Trump,REP,64183,True,34.2902,-83.8294,139507.0,479.0
147,Georgia,Hancock,Joe Biden,DEM,2976,True,33.2766,-82.9704,1737.0,370.0
148,Georgia,Haralson,Donald Trump,REP,12330,True,33.7085,-85.1495,7057.0,256.0
149,Georgia,Harris,Donald Trump,REP,14319,True,32.7647,-84.8753,1805.0,204.0
150,Georgia,Hart,Donald Trump,REP,9465,True,34.3496,-82.9289,4382.0,335.0
151,Georgia,Heard,Donald Trump,REP,4519,True,33.2797,-85.0985,1007.0,121.0
152,Georgia,Henry,Joe Biden,DEM,73443,True,33.5254,-84.2295,29446.0,829.0
153,Georgia,Houston,Donald Trump,REP,41540,True,32.5961,-83.6527,148171.0,786.0
154,Georgia,Irwin,Donald Trump,REP,3134,True,31.5987,-83.2498,3668.0,556.0
155,Georgia,Jackson,Donald Trump,REP,29502,True,34.1087,-83.8127,12178.0,358.0
156,Georgia,Jasper,Donald Trump,REP,5822,True,33.2955,-83.686,2687.0,249.0
157,Georgia,Jeff Davis,Donald Trump,REP,4695,True,31.8651,-82.5994,4069.0,331.0
158,Georgia,Jefferson,Joe Biden,DEM,4058,True,32.9955,-82.4001,2729.0,291.0
159,Georgia,Jenkins,Donald Trump,REP,2161,True,32.8071,-81.9423,2799.0,301.0
160,Georgia,Johnson,Donald Trump,REP,2850,True,32.727,-82.7191,3638.0,383.0
161,Georgia,Jones,Donald Trump,REP,9940,True,33.0021,-83.5374,3223.0,316.0
162,Georgia,Lamar,Donald Trump,REP,6331,True,33.0508,-84.1528,6673.0,424.0
163,Georgia,Lanier,Donald Trump,REP,2509,True,31.0409,-83.0748,3303.0,411.0
164,Georgia,Laurens,Donald Trump,REP,14493,True,32.536,-82.928,15762.0,382.0
