state,county,Polarization Indicator,Mean,const
Indiana,LaPorte,1.920420924934328,92.138,1
Indiana,Lake,3.155138789612873,69.32,1
Indiana,Madison,3.330469990936911,162.624,1
Indiana,Marion,3.847947464191025,69.027,1
Indiana,Miami,4.956681359119894,40.143,1
Indiana,Monroe,3.8202001845936233,65.041,1
Indiana,Montgomery,5.089987766205603,57.055,1
Indiana,Morgan,4.773265618539054,44.261,1
Indiana,Noble,5.335043258228014,47.695,1
Indiana,Parke,5.950553832131166,42.532,1
Indiana,Porter,1.7315572754866062,139.986,1
Indiana,Posey,4.963335893967588,50.263,1
Indiana,Putnam,4.72628835436213,77.737,1
Indiana,Rush,5.471477217083421,50.789,1
Indiana,Shelby,4.88492579268099,60.141,1
Indiana,Spencer,4.563345330239108,52.7,1
Indiana,St. Joseph,1.7580981459830651,78.132,1
Indiana,Steuben,4.600162027932257,48.504,1
Indiana,Switzerland,6.16868151057804,14.657,1
Indiana,Tipton,4.9860269871190095,52.232,1
Indiana,Vigo,2.633477773512682,48.356,1
Indiana,Warren,5.002061430720442,47.278,1
Indiana,Warrick,4.026421359658877,51.838,1
Indiana,Washington,5.124993674725375,36.973,1
Indiana,Wayne,3.698455275999891,47.354,1
Indiana,White,5.274927369837631,60.923,1
Indiana,Whitley,4.330880019018125,42.963,1
Iowa,Adair,5.26553002570614,63.22,1
Iowa,Adams,4.847679857416329,63.647,1
Iowa,Appanoose,4.816086613162883,43.796,1
Iowa,Benton,3.701442998630243,70.506,1
Iowa,Boone,2.644645920871757,55.39,1
Iowa,Buchanan,3.4882040604826385,63.804,1
Iowa,Butler,4.860165853261813,54.214,1
Iowa,Calhoun,4.73435755030621,34.329,1
Iowa,Carroll,5.453719423985392,59.087,1
Iowa,Cass,5.110108369415448,43.003,1
Iowa,Cerro Gordo,1.894969416879621,56.552,1
Iowa,Cherokee,5.423448451257583,48.14,1
Iowa,Clarke,5.2883519802171515,44.811,1
Iowa,Clay,4.5211919302976105,46.965,1
Iowa,Clayton,4.323099488698958,56.183,1
Iowa,Clinton,2.2269135521774515,69.097,1
Iowa,Crawford,5.738031021177909,49.675,1
Iowa,Dallas,0.979018645711367,68.583,1
Iowa,Delaware,4.4152513455571745,56.667,1
Iowa,Dubuque,1.2148371841058603,62.414,1
Iowa,Fayette,3.348670218610622,51.077,1
Iowa,Franklin,4.680004169270605,50.078,1
Iowa,Greene,4.729612116149776,48.632,1
Iowa,Grundy,4.394548524887244,61.58,1
Iowa,Hardin,4.1990358227205915,58.296,1
Iowa,Harrison,4.629417549683229,21.702,1
Iowa,Henry,4.019950248448356,38.692,1
Iowa,Humboldt,6.001262493438486,57.404,1
Iowa,Ida,6.144102863722254,59.468,1
Iowa,Iowa,3.638208232053925,80.243,1
Iowa,Jackson,4.1876180076880525,52.767,1
Iowa,Jasper,3.460521147395324,76.12,1
Iowa,Jefferson,0.7933735717589049,56.939,1
Iowa,Johnson,4.552721463835969,61.088,1
Iowa,Keokuk,5.089417836358445,40.687,1
Iowa,Linn,2.3319280003374385,97.904,1
Iowa,Louisa,4.090947207750764,54.8,1
Iowa,Lyon,7.220445378276478,54.713,1
Iowa,Madison,4.293214878045477,36.803,1
Iowa,Mahaska,5.036486591176293,52.65,1
Iowa,Marion,4.072551749132307,53.371,1
Iowa,Marshall,1.8937049009621378,50.247,1
Iowa,Mitchell,4.201449025401055,40.642,1
Iowa,Monona,5.021869978622682,51.276,1
Iowa,Muscatine,1.745943678281488,82.957,1
Iowa,O'Brien,5.9557597651488,58.156,1
Iowa,Osceola,7.513950988625056,53.753,1
Iowa,Palo Alto,5.179390597022176,39.399,1
Iowa,Pocahontas,5.438577479451773,42.422,1
Iowa,Pottawattamie,2.8846215028579647,64.656,1
Iowa,Poweshiek,2.762746525033001,71.185,1
Iowa,Ringgold,5.833268982914042,44.099,1
Iowa,Scott,1.276576766671723,58.034,1
Iowa,Shelby,4.438225064890097,48.869,1
Iowa,Sioux,5.997395267947578,74.319,1
Iowa,Story,2.4085370161384265,60.171,1
Iowa,Tama,3.2052783847599766,60.913,1
Iowa,Union,4.134790348744441,42.428,1
Iowa,Warren,2.7613733930972497,120.279,1
Iowa,Washington,3.216107529216798,41.586,1
Iowa,Webster,3.994922977241982,52.144,1
Iowa,Winneshiek,1.7073647353810026,50.591,1
Iowa,Woodbury,2.7616839152448898,42.507,1
Iowa,Worth,3.6871721000297906,58.951,1
Kansas,Allen,4.503470883662955,43.538,1
Kansas,Anderson,5.102650001424459,34.857,1
Kansas,Atchison,3.821603218910971,38.31,1
Kansas,Barton,5.874858847704081,35.428,1
Kansas,Bourbon,5.022173057773121,39.362,1
Kansas,Brown,4.556830683968074,51.33,1
Kansas,Butler,4.372120780060875,59.454,1
Kansas,Chautauqua,6.884765791223402,34.477,1
Kansas,Clay,4.2906684870278395,17.668,1
Kansas,Cowley,4.205700829004275,47.779,1
Kansas,Dickinson,5.575567820566721,53.641,1
Kansas,Doniphan,6.95119766199827,58.106,1
Kansas,Ford,4.197751542483471,66.739,1
Kansas,Franklin,3.9726413372756006,48.299,1
Kansas,Geary,2.1607734678864845,44.638,1
Kansas,Hamilton,5.380275868489703,55.744,1
Kansas,Harper,6.101001739241042,51.2,1
Kansas,Harvey,3.0271253258528326,60.626,1
Kansas,Jefferson,3.308596154056626,63.083,1
Kansas,Jewell,6.4309519401985,41.351,1
Kansas,Johnson,1.736301543426469,180.602,1
Kansas,Lincoln,5.699462340233676,44.595,1
Kansas,Linn,5.547071299343465,52.793,1
Kansas,Marion,4.752804149848982,44.646,1
Kansas,Marshall,4.456529562081342,47.318,1
Kansas,McPherson,4.120155809017119,53.115,1
Kansas,Montgomery,5.02702619511896,47.717,1
Kansas,Nemaha,6.300708272185183,50.036,1
Kansas,Neosho,5.3547079468689684,37.487,1
Kansas,Osborne,6.219040970136416,39.522,1
