,Unnamed: 0,state,county,candidate,party,total_votes,won,lat,lng,population,density,TOTAL,ratio
420,420,Indiana,Henry,Donald Trump,REP,15043,True,39.9191,-85.3697,17234.0,908.0,21030,0.7153114598193058
421,421,Indiana,Howard,Donald Trump,REP,26449,True,40.464,-86.1277,58066.0,611.0,40630,0.6509721880383953
422,422,Indiana,Huntington,Donald Trump,REP,13147,True,40.881,-85.5063,17083.0,709.0,17829,0.7373941331538505
423,423,Indiana,Jackson,Donald Trump,REP,14555,True,38.9476,-85.8911,19780.0,629.0,19238,0.7565755276016218
424,424,Indiana,Jasper,Donald Trump,REP,11383,True,40.9375,-87.1684,6151.0,352.0,15475,0.7355735056542811
425,425,Indiana,Jay,Donald Trump,REP,6361,True,40.4376,-84.9833,5972.0,473.0,8461,0.7518023874246543
426,426,Indiana,Jefferson,Donald Trump,REP,9663,True,38.7581,-85.3973,11783.0,526.0,14697,0.6574811185956317
427,427,Indiana,Jennings,Donald Trump,REP,9490,True,39.0171,-85.6317,7167.0,360.0,12251,0.774630642396539
428,428,Indiana,Johnson,Donald Trump,REP,51219,True,39.6019,-86.1073,58784.0,813.0,77618,0.6598855935478883
429,429,Indiana,Knox,Donald Trump,REP,11655,True,38.6759,-87.5102,17091.0,890.0,16011,0.7279370432827431
430,430,Indiana,Kosciusko,Donald Trump,REP,26499,True,41.2448,-85.8465,15757.0,454.0,35787,0.7404644144521754
