State_ab,county,Labor Force,Employed,Unemployed,Unemployment Rate (%)
IL,Fulton,14556,13290,1266,8.70
IL,Gallatin,2009,1819,190,9.50
IL,Greene,5882,5491,391,6.60
IL,Grundy,25379,23211,2168,8.50
IL,Hamilton,4201,3918,283,6.70
IL,Hancock,8064,7496,568,7.00
IL,Hardin,1288,1166,122,9.50
IL,Henderson,3534,3283,251,7.10
IL,Henry,23700,21809,1891,8.00
IL,Iroquois,13541,12684,857,6.30
IL,Jackson,27136,25004,2132,7.90
IL,Jasper,4572,4290,282,6.20
IL,Jefferson,16941,15220,1721,10.20
IL,Jersey,10580,9770,810,7.70
IL,Jo Daviess,10435,9559,876,8.40
IL,Johnson,4083,3712,371,9.10
IL,Kane,261149,236858,24291,9.30
IL,Kankakee,53863,49036,4827,9.00
IL,Kendall,70224,64661,5563,7.90
IL,Knox,21053,19199,1854,8.80
IL,Lake,363910,334143,29767,8.20
IL,LaSalle,52669,47627,5042,9.60
IL,Lawrence,5747,5226,521,9.10
IL,Lee,17085,15894,1191,7.00
IL,Livingston,15874,14784,1090,6.90
IL,Logan,12057,11226,831,6.90
IL,McDonough,12774,11844,930,7.30
IL,McHenry,164754,151528,13226,8.00
IL,McLean,84781,78925,5856,6.90
IL,Macon,47056,42338,4718,10.00
IL,Macoupin,21896,20351,1545,7.10
IL,Madison,130887,120552,10335,7.90
IL,Marion,17044,15441,1603,9.40
IL,Marshall,5060,4680,380,7.50
IL,Mason,5908,5428,480,8.10
IL,Massac,5413,4866,547,10.10
IL,Menard,6043,5647,396,6.60
IL,Mercer,7597,6971,626,8.20
IL,Monroe,18371,17334,1037,5.60
IL,Montgomery,11430,10421,1009,8.80
IL,Morgan,15854,14746,1108,7.00
IL,Moultrie,7244,6870,374,5.20
IL,Ogle,24093,22102,1991,8.30
IL,Peoria,83410,74688,8722,10.50
