,state,county,candidate,party,total_votes,won,lat,lng,population,density,ln_total_votes
1326,Georgia,Grady,Donald Trump,REP,468.0,True,30.879,-84.205,9395.0,370.0,2.670245853074124
1329,Georgia,Greene,Donald Trump,REP,668.0,True,33.5687,-83.1872,3350.0,187.0,2.824776462475546
1334,Georgia,Gwinnett,Joe Biden,DEM,76.0,True,33.967,-84.232,43516.0,1043.0,1.8808135922807914
1347,Georgia,Habersham,Donald Trump,REP,8236.0,True,34.517,-83.5311,4510.0,419.0,3.9157163379459936
1354,Georgia,Hall,Donald Trump,REP,963.0,True,34.2902,-83.8294,139507.0,479.0,2.9836262871245345
1361,Georgia,Hancock,Joe Biden,DEM,1789.0,True,33.2766,-82.9704,1737.0,370.0,3.252610340567373
1362,Georgia,Haralson,Donald Trump,REP,4634.0,True,33.7085,-85.1495,7057.0,256.0,3.6659560294539566
1366,Georgia,Harris,Donald Trump,REP,30641.0,True,32.7647,-84.8753,1805.0,204.0,4.48630293483116
1374,Georgia,Hart,Donald Trump,REP,15977.0,True,34.3496,-82.9289,4382.0,335.0,4.203495235193291
1377,Georgia,Heard,Donald Trump,REP,148186.0,True,33.2797,-85.0985,1007.0,121.0,5.17080717523609
1381,Georgia,Henry,Joe Biden,DEM,424855.0,True,33.5254,-84.2295,29446.0,829.0,5.62824073370979
1386,Georgia,Houston,Donald Trump,REP,67779.0,True,32.5961,-83.6527,148171.0,786.0,4.831095157040668
1390,Georgia,Irwin,Donald Trump,REP,28427.0,True,31.5987,-83.2498,3668.0,556.0,4.453731029504294
1391,Georgia,Jackson,Donald Trump,REP,12119.0,True,34.1087,-83.8127,12178.0,358.0,4.083466785473887
1400,Georgia,Jasper,Donald Trump,REP,2613.0,True,33.2955,-83.686,2687.0,249.0,3.4171394097273255
1402,Georgia,Jeff Davis,Donald Trump,REP,1762.0,True,31.8651,-82.5994,4069.0,331.0,3.246005904076029
1405,Georgia,Jefferson,Joe Biden,DEM,4441.0,True,32.9955,-82.4001,2729.0,291.0,3.647480773173676
1412,Georgia,Jenkins,Donald Trump,REP,418.0,True,32.8071,-81.9423,2799.0,301.0,2.621176281775035
1414,Georgia,Johnson,Donald Trump,REP,478.0,True,32.727,-82.7191,3638.0,383.0,2.6794278966121188
1417,Georgia,Jones,Donald Trump,REP,3489.0,True,33.0021,-83.5374,3223.0,316.0,3.5427009694481106
1418,Georgia,Lamar,Donald Trump,REP,3368.0,True,33.0508,-84.1528,6673.0,424.0,3.527372082827612
1421,Georgia,Lanier,Donald Trump,REP,151.0,True,31.0409,-83.0748,3303.0,411.0,2.1789769472931693
1423,Georgia,Laurens,Donald Trump,REP,5932.0,True,32.536,-82.928,15762.0,382.0,3.7732011423563443
1430,Georgia,Lee,Donald Trump,REP,2162.0,True,31.7324,-84.1688,3035.0,238.0,3.3348556896172914
1432,Georgia,Liberty,Joe Biden,DEM,314.0,True,31.8248,-81.6137,33304.0,702.0,2.496929648073215
1440,Georgia,Lincoln,Donald Trump,REP,17884.0,True,33.7931,-82.4776,2033.0,223.0,4.252464661195994
1441,Georgia,Long,Donald Trump,REP,4724.0,True,31.7093,-81.7452,2223.0,358.0,3.6743098889414774
1442,Georgia,Lowndes,Donald Trump,REP,14519.0,True,30.8502,-83.2788,78786.0,604.0,4.161936705245781
1451,Georgia,Lumpkin,Donald Trump,REP,7917.0,True,34.5311,-83.9804,7004.0,306.0,3.898560644939712
1452,Georgia,McDuffie,Donald Trump,REP,8955.0,True,33.4679,-82.4968,6553.0,529.0,3.9520655901850503
1454,Georgia,McIntosh,Donald Trump,REP,10034.0,True,31.3568,-81.4314,1956.0,35.0,4.001474096691733
1457,Georgia,Macon,Joe Biden,DEM,355.0,True,32.2997,-84.0246,3039.0,257.0,2.550228353055094
1461,Georgia,Madison,Donald Trump,REP,3209.0,True,34.0625,-83.1263,1825.0,217.0,3.506369717095504
1467,Georgia,Marion,Donald Trump,REP,5543.0,True,32.3188,-84.5177,2214.0,265.0,3.7437448785924614
1469,Georgia,Meriwether,Donald Trump,REP,2512.0,True,32.8565,-84.6329,3982.0,191.0,3.4000196350651586
1476,Georgia,Miller,Donald Trump,REP,23208.0,True,31.1741,-84.7319,2158.0,101.0,4.365637715794608
1478,Georgia,Mitchell,Donald Trump,REP,8345.0,True,31.2337,-84.2088,5087.0,297.0,3.9214263410152657
1482,Georgia,Monroe,Donald Trump,REP,25919.0,True,33.0352,-83.939,4239.0,278.0,4.413618241686993
1487,Georgia,Montgomery,Donald Trump,REP,18012.0,True,32.1834,-82.5959,2537.0,233.0,4.255561938290895
1493,Georgia,Morgan,Donald Trump,REP,15797.0,True,33.5793,-83.4758,4141.0,182.0,4.198574618147281
1498,Georgia,Murray,Donald Trump,REP,1218.0,True,34.7808,-84.7835,4247.0,308.0,3.0856472882968564
1500,Georgia,Muscogee,Joe Biden,DEM,1191.0,True,32.51,-84.8771,249510.0,348.0,3.0759117614827773
1501,Georgia,Newton,Joe Biden,DEM,743.0,True,33.6049,-83.8463,14113.0,347.0,2.8709888137605755
1506,Georgia,Oconee,Donald Trump,REP,987.0,True,33.861,-83.4072,2932.0,346.0,2.9943171526696366
1510,Georgia,Oglethorpe,Donald Trump,REP,1386.0,True,33.8831,-83.1551,1223.0,405.0,3.141763230275788
1514,Georgia,Paulding,Donald Trump,REP,681.0,True,33.9152,-84.8416,13680.0,715.0,2.833147111912785
1517,Georgia,Peach,Donald Trump,REP,267.0,True,32.552,-83.8817,8817.0,451.0,2.4265112613645754
1519,Georgia,Pickens,Donald Trump,REP,1330.0,True,34.471,-84.4497,3923.0,177.0,3.123851640967086
1521,Georgia,Pierce,Donald Trump,REP,523.0,True,31.2954,-82.2453,3484.0,265.0,2.718501688867274
1526,Georgia,Pike,Donald Trump,REP,2314.0,True,33.093,-84.3427,1427.0,116.0,3.3643633546157306
1532,Georgia,Polk,Donald Trump,REP,1545.0,True,34.0223,-85.2479,10062.0,425.0,3.1889284837608534
1535,Georgia,Pulaski,Donald Trump,REP,11384.0,True,32.2965,-83.4815,5320.0,382.0,4.056294887076228
1536,Georgia,Putnam,Donald Trump,REP,5175.0,True,33.3258,-83.3886,6661.0,125.0,3.7139103541289553
1538,Georgia,Quitman,Donald Trump,REP,6503.0,True,,,,,3.8131137540078988
1539,Georgia,Rabun,Donald Trump,REP,919.0,True,34.8775,-83.4027,1837.0,209.0,2.9633155113861114
1544,Georgia,Randolph,Joe Biden,DEM,20685.0,True,31.7713,-84.794,3470.0,439.0,4.315655525231531
1547,Georgia,Richmond,Joe Biden,DEM,11871.0,True,33.3645,-82.0708,404125.0,252.0,4.0744873049856905
1550,Georgia,Rockdale,Joe Biden,DEM,591.0,True,33.6646,-83.9966,15705.0,516.0,2.7715874808812555
1553,Georgia,Schley,Donald Trump,REP,3956.0,True,32.238,-84.3089,1880.0,229.0,3.5972562829251418
1554,Georgia,Screven,Donald Trump,REP,3493.0,True,32.7466,-81.6409,2327.0,180.0,3.5431985856376467
1559,Georgia,Seminole,Donald Trump,REP,925.0,True,31.0404,-84.8792,2783.0,270.0,2.9661417327390325
1561,Georgia,Spalding,Donald Trump,REP,4194.0,True,33.2418,-84.2748,22724.0,627.0,3.622628426129325
1565,Georgia,Stephens,Donald Trump,REP,1822.0,True,34.581,-83.3263,8328.0,351.0,3.2605483726369795
1568,Georgia,Stewart,Joe Biden,DEM,28551.0,True,32.0885,-84.6625,1549.0,186.0,4.455621324031122
1570,Georgia,Sumter,Joe Biden,DEM,10444.0,True,32.0736,-84.2248,15319.0,521.0,4.018866863150907
1575,Georgia,Talbot,Joe Biden,DEM,3402.0,True,32.6773,-84.5406,766.0,95.0,3.5317343092765503
1580,Georgia,Taliaferro,Joe Biden,DEM,12311.0,True,33.5545,-82.8966,535.0,66.0,4.09029333131011
1582,Georgia,Tattnall,Donald Trump,REP,2173.0,True,31.9379,-81.9305,5081.0,278.0,3.3370597263205246
1588,Georgia,Taylor,Donald Trump,REP,11583.0,True,32.557,-84.2377,2047.0,243.0,4.063821056343712
1590,Georgia,Telfair,Donald Trump,REP,4271.0,True,32.0636,-82.8968,8338.0,500.0,3.630529571426824
1595,Georgia,Terrell,Joe Biden,DEM,6786.0,True,31.7721,-84.4437,4182.0,430.0,3.831613855309099
1599,Georgia,Thomas,Donald Trump,REP,50295.0,True,30.8394,-83.9782,18530.0,476.0,4.701524812484501
1605,Georgia,Tift,Donald Trump,REP,42200.0,True,31.4624,-83.5203,17189.0,521.0,4.625312450961673
1610,Georgia,Toombs,Donald Trump,REP,5476.0,True,32.2125,-82.4019,10380.0,224.0,3.7384634394619525
1614,Georgia,Towns,Donald Trump,REP,19227.0,True,34.9495,-83.7531,1104.0,261.0,4.283911526303729
1616,Georgia,Treutlen,Donald Trump,REP,15298.0,True,32.3782,-82.5945,3071.0,269.0,4.184634656586273
1617,Georgia,Troup,Donald Trump,REP,7085.0,True,33.0274,-85.0384,30494.0,279.0,3.850339854583479
1620,Georgia,Turner,Donald Trump,REP,22418.0,True,31.7096,-83.6528,3677.0,299.0,4.350596864828633
1623,Georgia,Twiggs,Donald Trump,REP,9889.0,True,32.6863,-83.3433,997.0,105.0,3.9951523768914536
1625,Georgia,Union,Donald Trump,REP,31084.0,True,34.876,-83.9546,725.0,253.0,4.492536900288133
1626,Georgia,Upson,Donald Trump,REP,14485.0,True,32.8907,-84.3272,8771.0,355.0,4.160918499539781
1633,Georgia,Walker,Donald Trump,REP,8211.0,True,34.7089,-85.2815,7310.0,349.0,3.9143960521297863
1640,Georgia,Walton,Donald Trump,REP,5823.0,True,33.799,-83.7161,13568.0,334.0,3.7651467901080253
1647,Georgia,Ware,Donald Trump,REP,10545.0,True,31.2108,-82.3579,13638.0,443.0,4.023046584075505
1653,Georgia,Warren,Joe Biden,DEM,6961.0,True,33.4067,-82.6653,2084.0,421.0,3.8426716337607885
1656,Georgia,Washington,Joe Biden,DEM,4874.0,True,32.9827,-82.8089,5468.0,164.0,3.6878855248487055
1664,Georgia,Wayne,Donald Trump,REP,17482.0,True,31.5992,-81.8895,9864.0,230.0,4.242591115900052
1668,Georgia,Webster,Donald Trump,REP,11753.0,True,,,,,4.070148736152306
1669,Georgia,Wheeler,Donald Trump,REP,37336.0,True,32.1469,-82.7798,3345.0,659.0,4.5721277878771
1671,Georgia,White,Donald Trump,REP,3833.0,True,34.597,-83.7622,3983.0,396.0,3.5835388192543522
1675,Georgia,Whitfield,Donald Trump,REP,4625.0,True,34.769,-84.972,87944.0,612.0,3.6651117370750512
1679,Georgia,Wilcox,Donald Trump,REP,20890.0,True,31.9925,-83.3068,2725.0,344.0,4.319938439980309
1684,Georgia,Wilkes,Donald Trump,REP,3157.0,True,33.7355,-82.7426,3946.0,197.0,3.4992745818922173
1687,Georgia,Wilkinson,Donald Trump,REP,3762.0,True,32.8866,-83.3349,1951.0,139.0,3.5754187912143602
1693,Georgia,Worth,Donald Trump,REP,6092.0,True,31.53,-83.8338,5809.0,341.0,3.784759894664005
1697,Hawaii,Hawaii,Joe Biden,DEM,11453.0,True,19.6883,-155.0863,45248.0,325.0,4.058919260718885
1749,Hawaii,Honolulu,Joe Biden,DEM,60255.0,True,21.3294,-157.846,834138.0,2214.0,4.779993090787353
1802,Hawaii,Kauai,Joe Biden,DEM,27161.0,True,22.091,-159.3521,9961.0,383.0,4.433945755538029
